127.0.0.1 - - [26/Jan/2023:09:06:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:06:11 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:06:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:11:33 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:11:33 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:12:56 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:12:56 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:12:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:13:11 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:13:11 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:14:58 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:14:58 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:21:29 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:21:29 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:28:33 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:34:20 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:38:43 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 500 3180
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:39:06 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:39:06 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:41:00 +0900] "GET /StudyJSP/jsp01/test4.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:46:39 +0900] "GET /StudyJSP/jsp01/test4.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:46:43 +0900] "GET /StudyJSP/jsp01/test4.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:47:04 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:47:10 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:50:14 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:50:14 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest2.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:50:27 +0900] "GET /StudyJSP/jsp03_pageContext/pageContextTest1.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:24:26 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:28:33 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:29:23 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:29:51 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:29:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:33:14 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:33:25 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:35:10 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:37:08 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:37:37 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 537
