127.0.0.1 - - [30/Dec/2022:13:57:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Dec/2022:13:57:50 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [30/Dec/2022:13:57:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:03:28 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:03:55 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:39 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:56 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:04:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:08:08 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:08:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
